"","playerID","bbrefID"
"155","akinke01","akinke01"
"156","akiyash01","akiyash01"
"157","alanirj01","alanirj01"
"158","albagi01","albagi01"
"159","albaljo01","albaljo01"
"160","albanjo01","albanjo01"
"161","alberan01","alberan01"
"162","alberbu01","alberbu01"
"163","albercy01","albercy01"
"164","albergu01","albergu01"
"165","alberha01","alberha01"
"166","alberjo01","alberjo01"
"167","alberma01","alberma01"
"168","albieoz01","albieoz01"
"169","albosed01","albosed01"
"170","albreed01","albreed01"
"171","albrija01","albrija01"
"172","albural01","albural01"
"173","alburvi01","alburvi01"
"174","alcaljo01","alcaljo01"
"175","alcalsa01","alcalsa01"
"176","alcanar01","alcanar01"
"177","alcanis01","alcanis01"
"178","alcanra01","alcanra01"
"179","alcansa01","alcansa01"
"180","alcanse01","alcanse01"
"181","alcanvi01","alcanvi01"
"182","alcarlu01","alcarlu01"
"183","alcocsc01","alcocsc01"
"184","alderda01","alderda01"
"185","aldremi01","aldremi01"
"186","aldresc01","aldresc01"
"187","aldrico01","aldrico01"
"188","aldrija01","aldrija01"
"189","aldrivi01","aldrivi01"
"190","alenoch01","alenoch01"
"191","alexabo01","alexabo01"
"192","alexada01","alexada01"
"193","alexado01","alexado01"
"194","alexaga01","alexaga01"
"195","alexage01","alexage01"
"196","alexahu01","alexahu01"
"197","alexama01","alexama01"
"198","alexama02","alexama02"
"199","alexani01","alexani01"
"200","alexape01","alexape01"
"201","alexasc01","alexasc02"
"202","alexaty01","alexaty01"
"203","alexawa01","alexawa01"
"204","alexyaj01","alexyaj01"
"205","alfarja01","alfarja01"
"206","alfarjo01","alfarjo01"
"207","alfonan01","alfonan01"
"208","alfoned01","alfoned01"
"209","alfonel01","alfonel01"
"210","alforan01","alforan01"
"211","alicelu01","alicelu01"
"212","allanan01","allanan01"
"213","allarbr01","allarbr01"
"214","allarko01","allarko01"
"215","allenau01","allenau01"
"216","allenbe01","allenbe01"
"217","allenbo01","allenbo01"
"218","allenbo02","allenbo02"
"219","allenbo03","allenbo03"
"220","allenbo04","allenbo04"
"221","allenbr01","allenbr01"
"222","allench01","allench01"
"223","allenco01","allenco01"
"224","allendi01","allendi01"
"225","allendu01","allendu01"
"226","allenet01","allenet01"
"227","allenfr01","allenfr01"
"228","allenga01","allenga01"
"229","allengr01","allengr01"
"230","allenha01","allenha01"
"231","allenha02","allenha02"
"232","allenhe01","allenhe01"
"233","allenho01","allenho01"
"234","allenja01","allenja01"
"235","allenja02","allenja02"
"236","allenje01","allenje01"
"237","allenjo01","allenjo01"
"238","allenjo02","allenjo02"
"239","allenki01","allenki01"
"240","allenll01","allenll01"
"241","allenlo01","allenlo01"
"242","allenlu01","allenlu01"
"243","allenmy01","allenmy01"
"244","allenne01","allenne01"
"245","allenni01","allenni01"
"246","allenpe01","allenpe01"
"247","allenro01","allenro01"
"248","allenro02","allenro02"
"249","allensl01","allensl01"
"250","alleyge01","alleyge01"
"251","allgeni01","allgeni01"
"252","alliebo01","alliebo01"
"253","alliega01","alliega01"
"254","allisan01","allisan01"
"255","allisar01","allisar01"
"256","allisbi01","allisbi01"
"257","allisbo01","allisbo01"
"258","allisda01","allisda01"
"259","allisdo01","allisdo01"
"260","allisma01","allisma01"
"261","allismi01","allismi01"
"262","allrebe01","allrebe01"
"263","almadme01","almadme01"
"264","almanar01","almanar01"
"265","almanca01","almanca01"
"266","almeira01","almeira01"
"267","almonab01","almonab01"
"268","almonbi01","almonbi01"
"269","almoned01","almoned01"
"270","almoner01","almoner01"
"271","almonhe01","almonhe01"
"272","almonmi01","almonmi01"
"273","almonye01","almonye01"
"274","almonzo01","almonzo01"
"275","almoral01","almoral01"
"276","alomalu01","alomalu01"
"277","alomaro01","alomaro01"
"278","alomasa01","alomasa01"
"279","alomasa02","alomasa02"
"280","alonspe01","alonspe01"
"281","alonsyo01","alonsyo01"
"282","aloufe01","aloufe01"
"283","alouje01","alouje01"
"284","alouma01","alouma01"
"285","aloumo01","aloumo01"
"286","alperwh01","alperwh01"
"287","alstode01","alstode01"
"288","alstoga01","alstoga01"
"289","alstoto01","alstoto01"
"290","alstowa01","alstowa01"
"291","altampo01","altampo01"
"292","altavda01","altavda01"
"293","altener01","altener01"
"294","altenje01","altenje01"
"295","altheaa01","altheaa01"
"296","altizda01","altizda01"
"297","altmage01","altmage01"
"298","altobjo01","altobjo01"
"299","altroni01","altroni01"
"300","altuvjo01","altuvjo01"
"301","alusige01","alusige01"
"302","alvarab01","alvarab01"
"303","alvarcl01","alvarcl01"
"304","alvarda01","alvarda01"
"305","alvarda02","alvarda02"
"306","alvared01","alvared01"
"307","alvarga01","alvarga01"
"308","alvarhe01","alvarhe01"
"309","alvarjo01","alvarjo01"
"310","alvarjo02","alvarjo02"
"311","alvarjo03","alvarjo03"
"312","alvarju01","alvarju01"
"313","alvarlu01","alvarlu01"
"314","alvaror01","alvaror01"
"315","alvaros01","alvaros01"
"316","alvarpe01","alvarpe01"
"317","alvarrj01","alvarrj01"
"318","alvarro01","alvarro01"
"319","alvarta01","alvarta01"
"320","alvarto01","alvarto01"
"321","alvarvi01","alvarvi01"
"322","alvarwi01","alvarwi01"
"323","alvaryo01","alvaryo01"
"324","alvisma01","alvisma01"
"325","alvorbi01","alvorbi01"
"326","alyeabr01","alyeabr01"
"327","alzolad01","alzolad01"
"328","amalfjo01","amalfjo01"
"329","amarari01","amarari01"
"330","amarial01","amarial01"
"331","amaroru01","amaroru01"
"332","amaroru02","amaroru02"
"333","amblewa01","amblewa01"
"334","ambrech01","ambrech01"
"335","ambrihe01","ambrihe01"
"336","amburtr01","amburtr01"
"337","amelued01","amelued01"
"338","amesre01","amesre01"
"339","amesst01","amesst01"
"340","amezaal01","amezaal01"
"341","amoledo01","amoledo01"
"342","amorosa01","amorosa01"
"343","amorvi01","amorvi01"
"344","anckewa01","anckewa01"
"345","anderal01","anderal01"
"346","anderal02","anderal02"
"347","anderan01","anderan01"
"348","anderbi01","anderbi01"
"349","anderbo01","anderbo01"
"350","anderbr01","anderbr01"
"351","anderbr02","anderbr02"
"352","anderbr03","anderbr03"
"353","anderbr04","anderbr04"
"354","anderbr05","anderbr05"
"355","anderbr06","anderbr06"
"356","anderbu01","anderbu01"
"357","anderch01","anderch01"
"358","anderco01","anderco01"
"359","andercr01","andercr01"
"360","anderda01","anderda01"
"361","anderda02","anderda02"
"362","anderdr01","anderdr01"
"363","anderdr02","anderdr02"
"364","anderdw01","anderdw01"
"365","anderfe01","anderfe01"
"366","anderfr01","anderfr01"
"367","anderga01","anderga01"
"368","anderge01","anderge01"
"369","andergo01","andergo01"
"370","anderha01","anderha01"
"371","anderha02","anderha02"
"372","anderia01","anderia01"
"373","anderja01","anderja01"
"374","anderji01","anderji01"
"375","anderji02","anderji02"
"376","anderjo01","anderjo01"
"377","anderjo02","anderjo02"
"378","anderjo03","anderjo03"
"379","anderju01","anderju01"
"380","anderke01","anderke01"
